"","Rank","Title","authorName","avg_rating","rater","score","voter","price","First_published","pages","reviews","followers","top_genre","second_genre","third_genre","fourth_genre","fifth_genre","Five_stars","Four_stars","Three_stars","Two_stars","One_stars","cover_type","author_avg_rating"
"387",387,"It Ends with Us","Colleen Hoover",4.14,3864980,34749,375,"8.99","August 2, 2016",386,280496,733000,"Fiction","Contemporary","New Adult","Audiobook","Contemporary Romance",47,29,14,5,3," Kindle Edition","4.09"
"388",388,"11/22/63","Stephen         King",4.34,565590,34722,413,"11.99","November 8, 2011",849,50788,857000,"Fiction","Historical Fiction","Science Fiction","Time Travel","Horror",52,33,10,2,1," Hardcover","4.07"
"389",389,"The House of Hades","Rick Riordan",4.57,436920,34649,425,NA,"October 8, 2013",597,24243,434000,"Fantasy","Mythology","Young Adult","Middle Grade","Fiction",66,25,6,1,1," Hardcover","4.34"
"390",390,"A Child Called ""It""","Dave Pelzer",4.13,442388,34584,444,NA,"January 1, 1995",184,18918,3142,"Nonfiction","Memoir","Biography","Psychology","Autobiography",45,30,16,4,2," Paperback","4.12"
"391",391,"Bel Canto","Ann Patchett",3.93,293953,34380,419,"15.99","May 22, 2001",318,19681,24000,"Fiction","Contemporary","Literary Fiction","Historical Fiction","Book Club",33,36,21,6,2," Paperback","3.97"
"392",392,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson",3.83,604480,34279,486,"3.75","January 5, 1886",139,24618,6439,"Classics","Horror","Gothic","Science Fiction","Mystery",26,38,27,5,1," Mass Market Paperback","3.84"
"393",393,"A Good Girl's Guide to Murder","Holly  Jackson",4.32,1317109,33870,359,NA,"May 2, 2019",433,142768,54800,"Young Adult","Thriller","Mystery Thriller","Fiction","Crime",49,35,11,2,1," Paperback","4.25"
"394",394,"القرآن الكريم","Anonymous",4.38,69274,33828,381,"7.99","March 18, 632",604,3820,3268,"Nonfiction","Classics","Philosophy","Religion","Spirituality",73,7,7,4,6," Hardcover","0"
"395",395,"The Martian Chronicles","Ray Bradbury",4.15,268870,33815,447,"6.99","May 4, 1950",182,11763,23500,"Science Fiction","Fiction","Classics","Short Stories","Fantasy",42,35,16,3,1," Mass Market Paperback","3.98"
"396",396,"Go Ask Alice","Beatrice Sparks",3.74,280352,33619,450,NA,"January 1, 1971",213,13701,1233,"Young Adult","Fiction","Classics","Contemporary","Mental Health",30,30,24,9,4," Paperback","3.73"
"397",397,"Cold Mountain","Charles Frazier",3.89,245073,33454,458,"12.00","January 1, 1997",449,6719,2080,"Historical Fiction","Fiction","Historical","Romance","Civil War",32,35,21,6,2," Paperback","3.85"
"398",398,"The Tell-Tale Heart and Other Writings","Edgar Allan Poe",4.19,241495,33439,491,"1.99","January 1, 1843",448,1688,26600,"Classics","Horror","Fiction","Short Stories","Poetry",44,35,16,2,1," Mass Market Paperback","4.13"
"399",399,"Inferno","Dante Alighieri",4.02,188183,33433,451,"5.99","January 1, 1320",490,8372,5585,"Classics","Poetry","Fiction","Literature","Religion",38,34,19,5,1," Kindle Edition","4.04"
"400",400,"As I Lay Dying","William Faulkner",3.72,173367,33354,446,"1.99","January 1, 1930",288,11454,9746,"Classics","Fiction","Literature","Novels","American",30,32,22,9,5," Paperback","3.84"
"401",401,"A Little Life","Hanya Yanagihara",4.32,717719,33210,349,"13.99","March 10, 2015",720,117027,22800,"Fiction","Contemporary","LGBT","Literary Fiction","Queer",58,23,10,4,2," Hardcover","4.26"
"402",402,"The Grapes of Wrath","John Steinbeck",4.01,929488,33166,437,"14.99","April 14, 1939",479,25282,23600,"Classics","Fiction","Historical Fiction","Literature","Novels",42,30,16,6,3," Hardcover","3.96"
"403",403,"Dark Lover","J.R. Ward",4.16,341205,33081,390,NA,"February 19, 2005",393,15985,50500,"Paranormal","Vampires","Paranormal Romance","Fantasy","Urban Fantasy",49,27,14,4,3," Mass Market Paperback","4.28"
"404",403,"Cloud Atlas","David Mitchell",4.01,254046,33081,398,"3.99","March 1, 2004",509,22424,14600,"Fiction","Science Fiction","Fantasy","Historical Fiction","Dystopia",39,34,16,6,3," Paperback","3.95"
"405",405,"Tao Te Ching","Lao Tzu",4.3,162969,33022,418,"9.99","January 1, 401",107,7748,4093,"Philosophy","Nonfiction","Classics","Spirituality","Poetry",54,27,13,3,1," Paperback","4.3"
"406",406,"Eldest","Christopher Paolini",4.04,459055,32940,424,NA,"August 23, 2005",704,12477,39900,"Fantasy","Young Adult","Fiction","Dragons","Adventure",38,35,19,5,1," Paperback","4.01"
"407",407,"Mansfield Park","Jane Austen",3.86,357763,32933,467,"0.99","July 2, 1814",488,15593,68900,"Fiction","Classics","Historical Fiction","Literature","Audiobook",29,36,25,6,1," Paperback","4.15"
"408",408,"Steppenwolf","Hermann Hesse",4.13,192991,32778,418,"2.99","January 1, 1927",256,8783,17800,"Fiction","Classics","Philosophy","German Literature","Literature",42,34,16,4,1," Paperback","4.08"
"409",409,"The Hunchback of Notre-Dame","Victor Hugo",4.02,205398,32740,471,"3.79","March 16, 1831",510,7816,12300,"Fiction","Classics","Historical Fiction","France","Literature",36,35,20,4,1," Paperback","4.16"
"410",410,"Heir of Fire","Sarah J. Maas",4.46,1080190,32660,377,NA,"September 2, 2014",565,81654,458000,"Young Adult","Romance","Fiction","Magic","Fae",57,32,8,1,1," Hardcover","4.36"
"411",411,"A Separate Peace","John Knowles",3.6,223432,32659,444,"13.99","January 1, 1959",208,9928,375,"Classics","Fiction","Historical Fiction","School","Young Adult",23,33,27,0,4," Paperback","3.59"
"412",412,"Beautiful Creatures","Kami Garcia",3.77,606752,32558,403,NA,"December 1, 2009",563,23230,17100,"Fantasy","Young Adult","Romance","Paranormal","Fiction",33,28,24,9,4," Hardcover","3.83"
"413",413,"Brisingr","Christopher Paolini",4.1,386949,32315,418,NA,"September 20, 2008",748,11294,39900,"Fantasy","Young Adult","Fiction","Dragons","Adventure",42,33,17,4,1," Hardcover","4.01"
"414",414,"The BFG","Roald Dahl",4.23,494921,32058,432,"8.99","November 1, 1982",199,12756,25300,"Fantasy","Childrens","Fiction","Middle Grade","Young Adult",49,31,15,3,1," Paperback","4.15"
"415",415,"Obsidian","Jennifer L. Armentrout",4.14,286931,31824,360,NA,"November 29, 2011",335,21213,143000,"Young Adult","Fantasy","Romance","Paranormal","Aliens",46,30,15,4,2," Paperback","4.18"
"416",416,"Robinson Crusoe","Daniel Defoe",3.68,311489,31627,472,"0.00","April 25, 1719",320,10120,1782,"Fiction","Classics","Adventure","Literature","Historical Fiction",25,33,28,9,3," Hardcover","3.66"
"417",417,"Stargirl","Jerry Spinelli",3.77,330056,31448,380,NA,"June 30, 2000",186,16970,3832,"Young Adult","Fiction","Contemporary","Romance","Realistic Fiction",30,31,25,8,3," Paperback","3.8"
"418",418,"The Amazing Adventures of Kavalier & Clay","Michael Chabon",4.18,205570,31382,387,"14.99","September 19, 2000",639,12457,8553,"Fiction","Historical Fiction","Novels","Literature","Literary Fiction",46,33,14,4,1," Paperback","3.9"
"419",419,"Room","Emma Donoghue",4.08,813985,31161,386,"0.00","August 20, 2010",321,51209,12400,"Fiction","Contemporary","Thriller","Adult","Adult Fiction",38,38,16,4,1," Kindle Edition","3.97"
"420",420,"زندگی مه آلود پریا","سید مرتضی مصطفوی",3.33,1022,30907,311,NA,"January 2, 2013",204,121,475,"Fiction",NA,NA,NA,NA,48,7,5,7,2," ebook","3.4"
"421",421,"The Amber Spyglass","Philip Pullman",4.1,366690,30793,396,NA,"October 10, 2000",465,13717,24600,"Fantasy","Young Adult","Fiction","Adventure","Childrens",43,32,17,4,1," Mass Market Paperback","4.06"
"422",422,"The Remains of the Day","Kazuo Ishiguro",4.14,318393,30753,420,"12.99","May 1, 1989",258,25820,37100,"Fiction","Historical Fiction","Classics","Literary Fiction","Historical",41,37,16,3,1," Paperback","3.84"
"423",423,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values","Robert M. Pirsig",3.78,234540,30692,390,"15.99","April 1, 1974",540,11006,1505,"Philosophy","Fiction","Classics","Spirituality","Travel",32,31,22,9,4," Mass Market Paperback","3.78"
"424",424,"Dear John","Nicholas Sparks",4.04,605008,30480,390,"8.99","October 30, 2006",276,12989,232000,"Romance","Fiction","Chick Lit","Contemporary","Adult",40,32,20,5,2," Hardcover","4.11"
"425",425,"The Plague","Albert Camus",4.02,276232,30456,411,"1.99","June 10, 1947",308,16319,32500,"Fiction","Classics","Philosophy","France","Literature",34,40,19,4,1," Paperback","4.03"
"426",426,"Miss Peregrine's Home for Peculiar Children","Ransom Riggs",3.92,1291813,30382,382,NA,"June 7, 2011",352,67458,23200,"Fantasy","Young Adult","Fiction","Paranormal","Mystery",34,34,22,6,2," Hardcover","3.98"
"427",427,"City of Heavenly Fire","Cassandra Clare",4.39,394027,30367,380,NA,"May 27, 2014",725,28697,273000,"Fantasy","Young Adult","Romance","Paranormal","Urban Fantasy",57,27,10,2,1," Hardcover","4.22"
"428",428,"Red Queen","Victoria Aveyard",4,1059692,30343,343,NA,"February 10, 2015",388,71831,71100,"Young Adult","Dystopia","Romance","Fiction","Young Adult Fantasy",38,34,19,5,2," Hardcover","3.91"
"429",429,"The English Patient","Michael Ondaatje",3.86,134311,30326,415,"14.99","September 1, 1992",320,6215,3924,"Fiction","Historical Fiction","Classics","Romance","War",32,34,21,7,3," Hardcover","3.77"
"430",430,"Doctor Zhivago","Boris Pasternak",4.01,98373,30320,456,"2.99","November 1, 1957",592,4579,1405,"Fiction","Historical Fiction","Russia","Russian Literature","Classics",38,34,19,5,2," Paperback","4.01"
"431",431,"Coraline","Neil Gaiman",4.12,721848,30247,391,"1.99","July 2, 2002",176,39460,317000,"Fantasy","Horror","Fiction","Young Adult","Middle Grade",41,35,16,3,1," Paperback","4.15"
"432",432,"The Firm","Robin Waterfield",4.06,630750,30217,442,NA,"February 1, 1991",76,3957,544,"Fiction","Thriller","Mystery","Crime","Suspense",36,38,20,3,1," Paperback","4.09"
"433",433,"The Last Song","Nicholas Sparks",4.16,560414,30085,372,"8.99","September 8, 2008",390,13395,232000,"Romance","Fiction","Young Adult","Contemporary","Chick Lit",45,32,17,3,1," Paperback","4.11"
"434",434,"Midnight’s Children","Salman Rushdie",3.98,126705,30070,366,"13.99","March 12, 1981",647,8681,12200,"Fiction","Magical Realism","Classics","India","Historical Fiction",38,33,18,6,2," Paperback","3.83"
"435",435,"Flowers in the Attic","V.C. Andrews",3.85,221197,29812,387,NA,"January 1, 1979",389,13266,8448,"Fiction","Horror","Young Adult","Classics","Mystery",33,32,23,7,3," Paperback","3.85"
"436",436,"Hidden Pictures","Jason Rekulak",4.16,347235,29765,315,"0.00","May 10, 2022",372,36895,4525,"Horror","Thriller","Mystery","Fiction","Mystery Thriller",40,39,14,3,1," Hardcover","4.15"
"437",437,"Crescendo","Becca Fitzpatrick",3.98,327931,29520,365,NA,"October 19, 2010",427,12986,32500,"Young Adult","Fantasy","Romance","Angels","Paranormal",40,29,20,7,2," Hardcover","3.99"
"438",438,"Like Water for Chocolate","Laura Esquivel",3.95,372939,29373,414,NA,"January 1, 1989",222,14268,2251,"Fiction","Magical Realism","Romance","Historical Fiction","Classics",35,35,20,5,2," Paperback","3.92"
"439",439,"Dragonfly in Amber","Diana Gabaldon",4.34,365221,29333,370,NA,"July 1, 1992",947,17985,178000,"Historical Fiction","Romance","Fantasy","Fiction","Time Travel",52,33,12,2,1," Paperback","4.29"
"440",440,"Blood Meridian, or, the Evening Redness in the West","Cormac McCarthy",4.16,178432,29255,335,"12.99","April 28, 1985",351,18268,25600,"Fiction","Historical Fiction","Westerns","Classics","Horror",49,27,14,5,2," Paperback","4.03"
"441",441,"All the Bright Places","Jennifer Niven",4.12,585901,29152,318,"8.99","January 6, 2015",378,52612,14800,"Young Adult","Romance","Contemporary","Fiction","Mental Health",43,32,16,4,1," Hardcover","4.03"
"442",442,"My Ántonia","Willa Cather",3.83,140675,28917,395,"0.99","September 1, 1918",219,9447,2460,"Fiction","Historical Fiction","Classics","Literature","School",30,35,23,7,3," Paperback","3.86"
"443",443,"Midnight in the Garden of Good and Evil","John Berendt",3.92,278467,28892,407,"14.99","January 13, 1994",386,12978,1175,"Nonfiction","True Crime","Mystery","Crime","History",30,39,23,5,1," Paperback","3.9"
"444",444,"Where the Crawdads Sing","Delia Owens",4.38,3185645,28616,323,"12.99","August 14, 2018",384,211430,18200,"Fiction","Historical Fiction","Mystery","Audiobook","Romance",57,28,10,2,1," ebook","4.38"
"445",445,"Crown of Midnight","Sarah J. Maas",4.35,1234776,28450,340,NA,"August 15, 2013",420,92942,458000,"Fantasy","Young Adult","Romance","Fiction","Magic",50,36,10,1,1," Hardcover","4.36"
"446",446,"Breakfast of Champions","Kurt Vonnegut Jr.",4.07,265859,28368,360,"14.99","July 12, 1973",303,10276,34600,"Fiction","Classics","Science Fiction","Humor","Literature",37,38,18,4,1," Paperback","4.07"
"447",447,"The Origin of Species","Charles Darwin",4.01,116498,28363,390,"2.99","January 1, 1859",703,3244,3150,"Science","Nonfiction","Classics","Biology","Evolution",41,30,19,5,3," Hardcover","4.0"
"448",448,"A Streetcar Named Desire","Tennessee Williams",3.98,317282,28327,428,"9.99","January 1, 1947",107,7662,3408,"Plays","Classics","Fiction","Drama","School",34,36,21,5,1," Paperback","3.92"
"449",449,"Breakfast at Tiffany’s and Three Stories","Truman Capote",3.85,245955,28298,397,"12.99","January 1, 1958",142,13634,6717,"Fiction","Short Stories","Classics","Romance","American",27,39,26,5,1," Paperback","4.0"
"450",450,"Circe","Madeline Miller",4.23,1141223,28154,319,"11.99","April 10, 2018",393,112281,74700,"Fantasy","Fiction","Mythology","Historical Fiction","Greek Mythology",46,36,13,2,1," Hardcover","4.27"
"451",451,"The Prince","Niccolò Machiavelli",3.84,348903,28057,393,"9.99","January 1, 1513",144,13624,4367,"Philosophy","Nonfiction","Politics","History","Literature",29,35,25,6,2," Paperback","3.85"
"452",452,"The One","Kiera Cass",4.15,715798,27982,330,NA,"May 6, 2014",323,46267,64100,"Romance","Young Adult","Dystopia","Fantasy","Fiction",45,31,16,4,1," Hardcover","3.96"
"453",453,"A Fine Balance","Rohinton Mistry",4.37,152351,27973,334,"8.99","January 1, 1995",603,11511,3395,"Fiction","Historical Fiction","India","Indian Literature","Literary Fiction",56,29,9,2,1," Paperback","4.29"
"454",454,"The Subtle Knife","Philip Pullman",4.15,442605,27916,374,NA,"July 22, 1997",370,13135,24600,"Fantasy","Young Adult","Fiction","Childrens","Audiobook",42,36,16,3,1," Kindle Edition","4.06"
"455",455,"Daughter of Smoke & Bone","Laini Taylor",3.99,374910,27794,329,NA,"September 27, 2011",418,34692,39000,"Fantasy","Young Adult","Romance","Paranormal","Urban Fantasy",38,33,18,5,3," Hardcover","4.1"
"456",456,"Hopeless","Colleen Hoover",4.24,611979,27786,313,"14.99","December 18, 2012",410,42253,733000,"Romance","New Adult","Young Adult","Contemporary","Fiction",50,30,13,3,1," ebook","4.09"
"457",457,"The Virgin Suicides","Jeffrey Eugenides",3.79,361981,27669,354,"0.00","January 1, 1993",250,25963,9804,"Fiction","Classics","Young Adult","Literary Fiction","Coming Of Age",27,37,25,7,2," Paperback","4.02"
"458",458,"Infinite Jest","David Foster Wallace",4.25,94470,27458,301,"12.99","February 1, 1996",1088,11645,12200,"Fiction","Classics","Literature","Novels","Contemporary",58,22,10,5,4," Paperback","4.11"
"459",459,"Carrie","Stephen         King",3.99,755216,27423,380,"9.99","April 5, 1974",272,27142,857000,"Horror","Fiction","Thriller","Classics","Fantasy",34,37,22,4,1," Mass Market Paperback","4.07"
"460",460,"Local Woman Missing","Mary Kubica",4.14,549634,27323,289,"14.99","May 18, 2021",356,45917,21600,"Thriller","Mystery","Mystery Thriller","Audiobook","Fiction",38,42,15,3,1," Paperback","3.86"
"461",461,"Death of a Salesman","Arthur Miller",3.57,241100,27163,420,"4.99","January 1, 1949",144,8318,2857,"Classics","Plays","Fiction","Drama","School",22,32,29,1,4," Hardcover","3.61"
"462",462,"Unbroken: A World War II Story of Survival, Resilience and Redemption","Laura Hillenbrand",4.38,959290,27105,327,"9.99","November 16, 2010",475,51667,4439,"Nonfiction","History","Biography","World War II","War",59,26,8,2,2," Hardcover","4.36"
"463",463,"Pippi Longstocking","Astrid Lindgren",4.15,202582,26965,392,NA,"January 1, 1945",160,5395,3601,"Classics","Childrens","Fiction","Middle Grade","Fantasy",45,30,18,3,1," Mass Market Paperback","4.2"
"464",464,"Evermore","Alyson Noel",3.59,293508,26769,324,NA,"February 3, 2009",301,10612,15700,"Young Adult","Fantasy","Paranormal","Romance","Paranormal Romance",30,25,25,2,7," Paperback","3.68"
"465",465,"A Feast for Crows","George R.R. Martin",4.16,748846,26578,349,NA,"October 17, 2005",1060,25039,114000,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Science Fiction Fantasy",42,35,17,3,1," Mass Market Paperback","4.38"
"466",466,"I Know Why the Caged Bird Sings","Maya Angelou",4.29,544293,26534,370,"8.99","January 1, 1969",289,17066,13700,"Nonfiction","Classics","Memoir","Biography","Autobiography",51,31,12,2,1," Paperback","4.28"
"467",467,"Jonathan Strange & Mr Norrell","Susanna Clarke",3.86,241204,26428,325,"9.00","September 8, 2004",1006,19058,9952,"Fantasy","Fiction","Historical Fiction","Historical","Magic",35,31,19,8,4," Paperback","4.06"
"468",468,"Queen of Shadows","Sarah J. Maas",4.61,961014,26345,303,NA,"September 1, 2015",648,70656,458000,"Young Adult","Romance","Fae","Fiction","Magic",68,24,5,1,1," Hardcover","4.36"
"469",469,"The Scarlet Pimpernel","Emmuska Orczy",4.07,137266,26298,341,"3.99","January 1, 1905",182,8004,952,"Classics","Historical Fiction","Fiction","Adventure","Historical",39,35,19,4,1," Paperback","4.04"
"470",470,"The Host","Stephenie Meyer",3.86,1020241,26074,322,"8.99","May 6, 2008",624,44341,76700,"Young Adult","Fantasy","Science Fiction","Romance","Fiction",37,29,20,7,5," Hardcover","3.7"
"471",471,"Snow Flower and the Secret Fan","Lisa See",4.09,376795,25852,329,"2.99","February 21, 2005",288,20140,51500,"Historical Fiction","Fiction","China","Historical","Book Club",37,39,18,3,1," Kindle Edition","4.1"
"472",472,"Artemis Fowl","Eoin Colfer",3.86,551749,25786,335,NA,"April 26, 2001",396,13920,11500,"Fantasy","Young Adult","Fiction","Middle Grade","Childrens",33,32,23,7,3," Paperback","3.95"
"473",473,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson",4,703581,25776,337,"13.99","February 11, 2003",464,41582,68200,"Nonfiction","History","True Crime","Crime","Historical",36,36,19,5,2," Hardcover","4.02"
"474",474,"Pet Sematary","Stephen         King",4.07,619675,25655,340,"13.99","November 14, 1983",580,26273,857000,"Horror","Fiction","Thriller","Fantasy","Audiobook",38,35,19,4,1," Kindle Edition","4.07"
"475",475,"The Angel Experiment","James Patterson",4.07,227215,25610,315,NA,"April 1, 2005",445,10138,348000,"Young Adult","Fantasy","Science Fiction","Fiction","Adventure",43,29,18,5,2," Mass Market Paperback","4.01"
"476",476,"Sharp Objects","Gillian Flynn",4.02,1097676,25603,288,"13.99","September 26, 2006",254,70214,90600,"Mystery","Thriller","Fiction","Mystery Thriller","Crime",34,39,19,4,1," Paperback","4.07"
"477",477,"We Were Liars","E. Lockhart",3.66,1198049,25599,285,NA,"May 13, 2014",242,115963,15300,"Young Adult","Mystery","Contemporary","Fiction","Romance",26,31,26,0,4," Kindle Edition","3.65"
"478",478,"Anna and the French Kiss","Stephanie Perkins",3.97,456805,25595,298,NA,"December 2, 2010",372,36235,27200,"Romance","Young Adult","Contemporary","Fiction","Chick Lit",40,30,18,6,4," Hardcover","3.9"
"479",479,"Matched","Ally Condie",3.62,792849,25518,318,NA,"November 30, 2010",369,36455,14600,"Young Adult","Dystopia","Romance","Science Fiction","Fantasy",27,29,26,1,5," Hardcover","3.59"
"480",480,"The Raven Boys","Maggie Stiefvater",4.05,378960,25291,289,NA,"September 18, 2012",409,43686,170000,"Fantasy","Young Adult","Paranormal","Romance","Fiction",39,36,17,4,2," Hardcover","4.0"
"481",481,"The Invisible Life of Addie LaRue","Victoria Schwab",4.18,1178590,25249,279,"0.00","October 6, 2020",448,151173,115000,"Fantasy","Fiction","Romance","Historical Fiction","Adult",46,33,15,4,1," Hardcover","4.12"
"482",482,"The Hate U Give","Angie Thomas",4.47,934092,25211,290,NA,"February 28, 2017",454,76917,22800,"Young Adult","Fiction","Contemporary","Audiobook","Realistic Fiction",60,29,8,1,1," Hardcover","4.43"
"483",483,"Faust, First Part","Johann Wolfgang von Goethe",3.87,128008,25175,340,"5.65","January 1, 1808",327,4837,6256,"Fiction","Plays","Poetry","German Literature","Literature",32,33,22,7,2," Paperback","3.75"
"484",484,"High Fidelity","Nick Hornby",3.91,205873,25131,314,"6.05","April 13, 1995",323,8475,9748,"Fiction","Music","Contemporary","Humor","Romance",28,41,23,5,1," Paperback","3.65"
"485",485,"Northanger Abbey","Jane Austen",3.85,413784,24994,364,"0.99","December 20, 1817",260,22497,68900,"Classics","Fiction","Gothic","Historical Fiction","Literature",28,37,26,6,1," Paperback","4.15"
"486",486,"Red, White & Royal Blue","Casey McQuiston",4.08,1070858,24927,276,"0.00","May 14, 2019",448,119266,39500,"Romance","LGBT","Contemporary","Fiction","Queer",41,33,17,5,2," Paperback","4.03"
"487",487,"The Tales of Beedle the Bard","J.K. Rowling",4.04,495452,24913,357,NA,"January 1, 2008",105,18895,228000,"Fantasy","Fiction","Young Adult","Short Stories","Childrens",38,33,22,4,1," Hardcover","4.46"
"488",488,"Persuasion","Jane Austen",4.15,721097,24827,317,"1.99","December 20, 1817",249,34924,68900,"Fiction","Classics","Historical Fiction","Audiobook","Historical",44,33,16,3,1," Paperback","4.15"
"489",489,"The Shipping News","Annie Proulx",3.88,147879,24759,340,"12.99","January 1, 1993",337,6308,3071,"Fiction","Contemporary","Canada","Literary Fiction","Literature",31,36,21,6,2," Paperback","3.92"
"490",490,"Waiting for Godot","Samuel Beckett",3.84,207179,24698,330,NA,"April 1, 1952",109,9396,6065,"Plays","Classics","Fiction","Theatre","Literature",33,32,21,8,3," Paperback","3.86"
"491",491,"The Chosen","Chaim Potok",4.07,94619,24680,335,NA,"January 1, 1966",304,5115,1687,"Fiction","Classics","Historical Fiction","Young Adult","Jewish",39,36,17,4,1," Mass Market Paperback","4.11"
"492",492,"Shantaram","Gregory David Roberts",4.27,222666,24490,277,NA,"January 1, 2003",936,17285,4013,"Fiction","Travel","Adventure","Historical Fiction","Contemporary",53,29,11,3,2," Paperback","4.25"
"493",493,"Houdini Heart","Ki Longfellow",3.84,5482,24357,252,"9.99","April 25, 2011",254,229,1301,"Horror","Fantasy","Fiction","Mystery","Magical Realism",39,29,14,8,8," Paperback","4.05"
"494",494,"Nineteen Minutes","Jodi Picoult",4.17,382584,24348,305,"0.00","March 5, 2007",440,20096,86100,"Fiction","Contemporary","Drama","Chick Lit","Adult",42,37,16,3,1," Hardcover","4.01"
"495",495,"To the Lighthouse","Virginia Woolf",3.8,191455,24083,324,"0.99","May 5, 1927",209,14344,25600,"Classics","Fiction","Literature","Novels","Literary Fiction",32,32,23,8,3," Paperback","3.87"
"496",496,"The Voyage of the Dawn Treader","C.S. Lewis",4.09,480171,23935,345,NA,"September 15, 1952",248,11631,43900,"Fantasy","Fiction","Young Adult","Childrens","Adventure",39,34,20,3,1," Hardcover","4.17"
"497",497,"The Reader","Bernhard Schlink",3.78,216572,23843,337,"13.99","January 1, 1995",216,13363,1938,"Fiction","Historical Fiction","Classics","German Literature","Romance",24,39,26,7,1," Hardcover","3.76"
"498",498,"Fourth Wing","Rebecca Yarros",4.57,2047718,23839,255,NA,"May 2, 2023",517,257793,108000,"Dragons","Fiction","Romantasy","Audiobook","Fantasy Romance",70,20,6,1,1," Hardcover","4.45"
"499",499,"Redeeming Love","Francine Rivers",4.51,335589,23838,271,"12.99","January 1, 1991",479,19469,18500,"Christian Fiction","Romance","Christian","Fiction","Historical Fiction",68,19,7,2,1," Paperback","4.41"
"500",500,"Neuromancer","William Gibson",3.89,336914,23761,295,NA,"January 1, 1984",288,15016,13900,"Science Fiction","Fiction","Cyberpunk","Classics","Dystopia",35,32,20,7,3," Kindle Edition","3.89"
